"Student Counts by School and Grade"
"All Districts, All Schools"
"2018-19"

"",,,,"Grade",,,,,,,,,,,,,,
"District","District Code","School","School Code","Pre-Kindergarten","Kindergarten","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","Total"
"Darien School District","=""0350011""","Hindley Elementary School","=""0350211""","*",79,"*",81,72,84,78,0,0,0,0,0,0,0,460
,,"Ox Ridge Elementary School","=""0351311""",27,57,61,72,69,53,82,0,0,0,0,0,0,0,421
,,"Royle Elementary School","=""0350511""",49,53,63,55,73,58,65,0,0,0,0,0,0,0,416
,,"Tokeneke Elementary School","=""0350611""",27,64,70,73,74,77,91,0,0,0,0,0,0,0,476
,,"Holmes Elementary School","=""0350711""",0,65,80,86,62,78,78,0,0,0,0,0,0,0,449
,,"Middlesex Middle School","=""0355111""",0,0,0,0,0,0,0,384,366,351,0,0,0,0,1101
,,"Darien High School","=""0356111""",0,0,0,0,0,0,0,0,0,0,383,334,358,343,1418
"Derby School District","=""0370011""","Little Raiders University","=""0370111""",44,0,0,0,0,0,0,0,0,0,0,0,0,0,44
,,"Bradley School","=""0370611""",0,36,36,45,43,36,56,0,0,0,0,0,0,0,252
,,"Irving School","=""0370411""",0,47,52,46,47,60,61,0,0,0,0,0,0,0,313
,,"Derby Middle School","=""0375011""",0,0,0,0,0,0,0,116,126,99,0,0,0,0,341
,,"RAISE Academy","=""0370511""",0,0,0,0,0,0,0,0,"*","*","*","*",6,"*",18
,,"Derby High School","=""0376111""",0,0,0,0,0,0,0,0,0,0,80,87,94,69,330
"East Granby School District","=""0400011""","Allgrove School","=""0400111""",9,59,64,57,0,0,0,0,0,0,0,0,0,0,189
,,"R. Dudley Seymour School","=""0400211""",0,0,0,0,53,65,77,0,0,0,0,0,0,0,195
,,"East Granby Middle School","=""0405111""",0,0,0,0,0,0,0,71,56,74,0,0,0,0,201
,,"East Granby High School","=""0406111""",0,0,0,0,0,0,0,0,0,0,65,69,54,75,263
"East Haddam School District","=""0410011""","East Haddam Elementary School","=""0410111""",32,69,84,56,80,0,0,0,0,0,0,0,0,0,321
,,"Nathan Hale-Ray Middle School","=""0415111""",0,0,0,0,0,69,74,74,73,70,0,0,0,0,360
,,"Nathan Hale-Ray High School","=""0416111""",0,0,0,0,0,0,0,0,0,0,71,97,83,75,326
"East Hampton School District","=""0420011""","Memorial School","=""0420111""",54,116,145,147,155,0,0,0,0,0,0,0,0,0,617
,,"Center School","=""0420311""",0,0,0,0,0,132,144,0,0,0,0,0,0,0,276
,,"East Hampton Middle School","=""0425111""",0,0,0,0,0,0,0,162,161,142,0,0,0,0,465
,,"East Hampton High School","=""0426111""",0,0,0,0,0,0,0,0,0,0,136,119,116,129,500
,,"The Learning Center at East Hampton","=""0429011""",0,0,0,0,0,0,0,0,0,0,"*",0,"*","*",6
"East Hartford School District","=""0430011""","Hockanum Pre-K","=""0430211""",318,0,0,0,0,0,0,0,0,0,0,0,0,0,318
,,"Anna E. Norris School","=""0430911""",0,45,50,49,56,48,60,0,0,0,0,0,0,0,308
,,"Dr. Franklin H. Mayberry School","=""0430611""",0,55,69,63,46,64,64,0,0,0,0,0,0,0,361
,,"Dr. John A. Langford School","=""0432211""",0,58,57,64,46,58,70,0,0,0,0,0,0,0,353
,,"Dr. Thomas S. O'Connell School","=""0431011""",0,98,96,71,73,89,102,0,0,0,0,0,0,0,529
,,"Governor William Pitkin School","=""0432011""",0,50,63,51,39,67,54,0,0,0,0,0,0,0,324
,,"Joseph O. Goodwin School","=""0430411""",0,58,61,55,55,65,59,0,0,0,0,0,0,0,353
,,"Robert J. O'Brien School","=""0431811""",0,56,57,61,63,67,82,0,0,0,0,0,0,0,386
,,"Silver Lane School","=""0431211""",0,34,47,46,53,35,51,0,0,0,0,0,0,0,266
,,"Woodland School","=""0439011""",0,0,8,"*","*",8,11,10,12,16,22,26,24,30,178
,,"East Hartford Middle School","=""0435111""",0,0,0,0,0,0,0,367,354,330,0,0,0,0,1051
,,"Sunset Ridge Middle School","=""0432411""",0,0,0,0,0,0,0,118,103,102,0,0,0,0,323
,,"Connecticut IB Academy","=""0436311""",0,0,0,0,0,0,0,0,0,0,51,51,46,43,191
,,"East Hartford High School","=""0436211""",0,0,0,0,0,0,0,0,0,0,426,476,419,456,1777
,,"Stevens Alternate High School","=""0436411""",0,0,0,0,0,0,0,0,0,0,0,"*","*",66,94
"East Haven School District","=""0440011""","Deer Run School","=""0440111""",47,85,52,47,0,0,0,0,0,0,0,0,0,0,231
,,"Overbrook Early Learning Center","=""0441811""",159,0,0,0,0,0,0,0,0,0,0,0,0,0,159
,,"Grove J. Tuttle School","=""0441011""",0,44,42,42,50,52,50,0,0,0,0,0,0,0,280
,,"Momauguin School","=""0440711""",0,48,49,52,34,57,51,0,0,0,0,0,0,0,291
,,"Carbone School/East Haven Academy","=""0441711""",0,0,36,34,42,45,43,39,36,39,0,0,0,0,314
,,"Dominick H. Ferrara School","=""0441311""",0,0,0,0,63,57,65,0,0,0,0,0,0,0,185
,,"Joseph Melillo Middle School","=""0445111""",0,0,0,0,0,0,0,161,177,173,0,0,0,0,511
,,"East Haven High School","=""0446111""",0,0,0,0,0,0,0,0,0,0,214,242,232,209,897
"East Lyme School District","=""0450011""","Integrated Preschool","=""0458011""",57,0,0,0,0,0,0,0,0,0,0,0,0,0,57
,,"Flanders School","=""0450111""",0,60,60,79,68,67,0,0,0,0,0,0,0,0,334
,,"Lillie B. Haynes School","=""0450411""",0,58,57,59,56,68,0,0,0,0,0,0,0,0,298
,,"Niantic Center School","=""0450211""",0,37,31,39,34,35,0,0,0,0,0,0,0,0,176
,,"East Lyme Middle School","=""0455111""",0,0,0,0,0,0,202,179,214,208,0,0,0,0,803
,,"Coastal Connections","=""0450611""",0,0,0,0,0,0,0,0,0,0,"*","*","*",6,15
,,"East Lyme High School","=""0456111""",0,0,0,0,0,0,0,0,0,0,247,267,241,247,1002
,,"Abilities in Motion (AIM) Program","=""0450511""",0,0,0,0,0,0,0,0,0,0,0,0,0,8,8
"East Windsor School District","=""0470011""","Broad Brook Elementary School","=""0470111""",56,89,94,86,75,72,0,0,0,0,0,0,0,0,472
,,"East Windsor Middle School","=""0475411""",0,0,0,0,0,0,78,88,67,86,0,0,0,0,319
,,"East Windsor High School","=""0476111""",0,0,0,0,0,0,0,0,0,0,97,61,72,65,295
,,"East Windsor Transition Program","=""0470411""",0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EastConn Special Education","=""2539014""","*","*","*","*",11,13,6,"*",21,9,19,9,8,9,120
,,"Arts at the Capitol Theater Magnet School (ACT)","=""2536014""",0,0,0,0,0,0,0,0,0,0,31,32,33,24,120
,,"Quinebaug Middle College","=""2536114""",0,0,0,0,0,0,0,0,0,0,49,42,51,36,178
,,"Regional Transitional Services","=""2530114""",0,0,0,0,0,0,0,0,0,0,0,0,0,11,11
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""",17,25,10,22,12,13,14,16,13,23,0,0,0,0,165
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""",30,80,97,77,89,93,99,0,0,0,0,0,0,0,565
,,"Helen Keller Middle School","=""0465111""",0,0,0,0,0,0,0,106,105,121,0,0,0,0,332
"EdAdvance","=""2420014""","EdAdvance Headstart","=""2428014""",210,0,0,0,0,0,0,0,0,0,0,0,0,0,210
,,"The ACCESS School at The Danuta M. Thibodeau Education Center","=""2429014""",0,0,0,"*","*","*","*","*","*",0,"*","*","*","*",24
,,"ACCESS - North","=""2420114""",0,0,0,0,0,0,0,0,"*",6,"*","*","*","*",22
,,"Torrington Alternative Program","=""2420214""",0,0,0,0,0,0,0,0,"*","*","*",6,"*",0,17
,,"ACCESS-South Expelled Student","=""2420414""",0,0,0,0,0,0,0,0,0,0,"*",0,0,0,"*"
,,"ACCESS-North Expelled Student","=""2420314""",0,0,0,0,0,0,0,0,0,0,0,0,"*","*","*"
"Ellington School District","=""0480011""","Crystal Lake School","=""0480211""",20,37,47,39,49,42,50,40,0,0,0,0,0,0,324
,,"Windermere School","=""0480611""",57,87,107,93,90,91,78,87,0,0,0,0,0,0,690
,,"Center School","=""0480111""",0,69,71,64,52,72,78,71,0,0,0,0,0,0,477
,,"Ellington Middle School","=""0485111""",0,0,0,0,0,0,0,0,219,219,0,0,0,0,438
,,"Ellington High School","=""0486111""",0,0,0,0,0,0,0,0,0,0,211,198,195,194,798
,,"The Ellington Public Schools Expulsion Program (TEPSEP)","=""0480511""",0,0,0,0,0,0,0,0,0,0,0,0,"*",0,"*"
,,"Ellington Continuing Life Independence Post-Secondary Education (ECLIPSE)","=""0480411""",0,0,0,0,0,0,0,0,0,0,0,0,0,"*","*"
"Elm City Montessori School District","=""2910013""","Elm City Montessori School","=""2910113""",67,32,30,31,18,21,0,0,0,0,0,0,0,0,199
"Enfield School District","=""0490011""","EPS Integrated Pre-Kindergarten","=""0492211""",74,0,0,0,0,0,0,0,0,0,0,0,0,0,74
,,"EPS PK STEAM Academy","=""0491011""",68,0,0,0,0,0,0,0,0,0,0,0,0,0,68
,,"Head Start Program","=""0498011""",104,0,0,0,0,0,0,0,0,0,0,0,0,0,104
,,"Enfield Street School","=""0490211""",0,83,94,135,0,0,0,0,0,0,0,0,0,0,312
,,"Hazardville Memorial School","=""0490411""",0,115,119,122,0,0,0,0,0,0,0,0,0,0,356
,,"Henry Barnard - Primary Adaptive Learning (PAL)","=""0490811""",0,"*","*","*",0,0,0,0,0,0,0,0,0,0,"*"
,,"Henry Barnard School","=""0491811""",0,121,142,115,0,0,0,0,0,0,0,0,0,0,378
,,"Eli Whitney School","=""0491611""",0,0,0,0,119,123,109,0,0,0,0,0,0,0,351
,,"Henry Barnard - Autism Spectrum Disorder (ASD)","=""0490311""",0,0,"*","*",0,0,0,0,0,0,0,0,0,0,"*"
,,"Henry Barnard - Educational Counseling Program (ECP)","=""0490611""",0,0,0,"*",0,0,0,0,0,0,0,0,0,0,"*"
,,"Edgar H. Parkman - Autism Spectrum Disorder (ASD)","=""0490511""",0,0,0,0,"*",0,"*",0,0,0,0,0,0,0,"*"
,,"Edgar H. Parkman School","=""0491311""",0,0,0,0,95,122,113,0,0,0,0,0,0,0,330
,,"Eli Whitney - Intermediate Adaptive Learning (IAL)","=""0491411""",0,0,0,0,"*","*","*",0,0,0,0,0,0,0,"*"
,,"Prudence Crandall - Educational Counseling Program (ECP)","=""0490711""",0,0,0,0,"*","*","*",0,0,0,0,0,0,0,"*"
,,"Prudence Crandall School","=""0491511""",0,0,0,0,136,135,128,0,0,0,0,0,0,0,399
,,"John F. Kennedy - Adaptive Learning Program (ALP)","=""0490911""",0,0,0,0,0,0,0,"*","*","*",0,0,0,0,6
,,"John F. Kennedy Middle School","=""0495211""",0,0,0,0,0,0,0,381,370,398,0,0,0,0,1149
,,"Enfield High School","=""0496111""",0,0,0,0,0,0,0,0,0,0,409,418,337,336,1500
,,"Enfield High - Adaptive Learning Program (ALP)","=""0490111""",0,0,0,0,0,0,0,0,0,0,0,"*","*","*",6
,,"Enfield Transitional Learning Academy","=""0499011""",0,0,0,0,0,0,0,0,0,0,0,0,0,12,12
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""",36,31,38,40,41,41,64,41,0,0,0,0,0,0,332
"Fairfield School District","=""0510011""","Burr Elementary School","=""0510211""",35,63,62,66,64,60,72,0,0,0,0,0,0,0,422
,,"Early Childhood Center(0510811)","=""0510811""",7,0,0,0,0,0,0,0,0,0,0,0,0,0,7
,,"Early Childhood Center(0518011)","=""0518011""",108,0,0,0,0,0,0,0,0,0,0,0,0,0,108
,,"Stratfield School","=""0511411""",48,59,55,67,61,70,72,0,0,0,0,0,0,0,432
,,"Sherman School","=""0511311""",0,58,64,78,82,66,99,0,0,0,0,0,0,0,447
,,"Dwight Elementary School","=""0510111""",0,35,43,50,54,56,60,0,0,0,0,0,0,0,298
,,"Holland Hill School","=""0510411""",0,58,61,50,71,56,63,0,0,0,0,0,0,0,359
,,"Jennings School","=""0511711""",0,44,38,43,51,60,59,0,0,0,0,0,0,0,295
,,"McKinley School","=""0510611""",0,73,57,90,64,76,78,0,0,0,0,0,0,0,438
,,"Mill Hill School","=""0510711""",0,60,51,61,61,66,47,0,0,0,0,0,0,0,346
,,"North Stratfield School","=""0511611""",0,51,65,57,56,70,78,0,0,0,0,0,0,0,377
,,"Osborn Hill School","=""0511811""",0,62,75,65,62,68,86,0,0,0,0,0,0,0,418
,,"Riverfield School","=""0511211""",0,59,72,61,69,75,70,0,0,0,0,0,0,0,406
,,"Fairfield Woods Middle School","=""0515211""",0,0,0,0,0,0,0,262,337,311,0,0,0,0,910
,,"Roger Ludlowe Middle School","=""0515311""",0,0,0,0,0,0,0,259,324,247,0,0,0,0,830
,,"Tomlinson Middle School","=""0515111""",0,0,0,0,0,0,0,207,232,223,0,0,0,0,662
,,"Fairfield Ludlowe High School","=""0516011""",0,0,0,0,0,0,0,0,0,0,418,371,377,367,1533
,,"Fairfield Warde High School","=""0516211""",0,0,0,0,0,0,0,0,0,0,340,373,359,407,1479
,,"Walter Fitzgerald Campus","=""0510311""",0,0,0,0,0,0,0,0,0,0,"*",10,7,"*",23
,,"Fairfield School/Community Partnership","=""0510511""",0,0,0,0,0,0,0,0,0,0,0,0,0,15,15
"Farmington School District","=""0520011""","Farmington Collaborative PK","=""0528011""",109,0,0,0,0,0,0,0,0,0,0,0,0,0,109
,,"East Farms School","=""0520411""",0,67,89,94,91,86,0,0,0,0,0,0,0,0,427
,,"Noah Wallace School","=""0520211""",0,57,57,79,84,77,0,0,0,0,0,0,0,0,354
,,"Union School","=""0520111""",0,52,73,59,67,64,0,0,0,0,0,0,0,0,315
,,"West District School","=""0520311""",0,65,59,58,58,66,0,0,0,0,0,0,0,0,306
,,"West Woods Upper Elementary School","=""0520511""",0,0,0,0,0,"*","*",347,0,0,0,0,0,0,661
,,"Irving A. Robbins Middle School","=""0525111""",0,0,0,0,0,0,0,"*",329,"*",0,0,0,0,655
,,"Farmington High School","=""0526111""",0,0,0,0,0,0,0,0,0,0,328,323,299,296,1246
,,"Farmington Alternative High School","=""0520611""",0,0,0,0,0,0,0,0,0,0,0,0,"*","*",9
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""",14,13,16,16,11,22,9,21,16,16,0,0,0,0,154
"Glastonbury School District","=""0540011""","PreK-Eastbury","=""0540511""",56,0,0,0,0,0,0,0,0,0,0,0,0,0,56
,,"Buttonball Lane School","=""0540211""",0,78,82,76,78,83,86,0,0,0,0,0,0,0,483
,,"Hebron Avenue School","=""0540411""",0,62,72,67,70,76,85,0,0,0,0,0,0,0,432
,,"Hopewell School","=""0540611""",0,72,82,78,78,78,89,0,0,0,0,0,0,0,477
,,"Naubuc School","=""0540711""",0,66,64,63,71,65,66,0,0,0,0,0,0,0,395
,,"Nayaug Elementary School","=""0540911""",0,78,75,108,94,102,106,0,0,0,0,0,0,0,563
,,"Links Academy","=""0540111""",0,0,"*","*",0,"*","*",0,"*","*","*","*","*","*",33
,,"Gideon Welles School","=""0540811""",0,0,0,0,0,0,0,468,0,0,0,0,0,0,468
,,"Smith Middle School","=""0545211""",0,0,0,0,0,0,0,"*","*",486,0,0,0,0,952
,,"Glastonbury High School","=""0546111""",0,0,0,0,0,0,0,0,0,0,498,506,491,506,2001
,,"Links Transition","=""0541411""",0,0,0,0,0,0,0,0,0,0,0,0,0,17,17
"Granby School District","=""0560011""","Kelly Lane Primary School","=""0560411""",46,113,133,105,0,0,0,0,0,0,0,0,0,0,397
,,"Wells Road Intermediate School","=""0560311""",0,0,0,0,121,154,137,0,0,0,0,0,0,0,412
,,"Granby Memorial Middle School","=""0565111""",0,0,0,0,0,0,0,137,140,130,0,0,0,0,407
,,"Granby Memorial High School","=""0566111""",0,0,0,0,0,0,0,0,0,0,164,153,162,176,655
"Greenwich School District","=""0570011""","Hamilton Avenue School","=""0570511""",54,55,61,57,56,46,60,0,0,0,0,0,0,0,389
,,"North Street School","=""0570811""",41,60,66,64,52,71,63,0,0,0,0,0,0,0,417
,,"Old Greenwich School","=""0570911""",45,63,58,68,64,67,87,0,0,0,0,0,0,0,452
,,"Parkway School","=""0571111""",30,44,30,32,43,40,32,0,0,0,0,0,0,0,251
,,"Cos Cob School","=""0570211""",0,74,65,63,66,62,81,0,0,0,0,0,0,0,411
,,"Glenville School","=""0570411""",0,61,68,71,79,61,71,0,0,0,0,0,0,0,411
,,"International School At Dundee","=""0571311""",0,55,60,60,63,62,69,0,0,0,0,0,0,0,369
,,"Julian Curtiss School","=""0570311""",0,40,51,52,57,63,57,0,0,0,0,0,0,0,320
,,"New Lebanon School","=""0570611""",0,29,30,34,43,41,52,0,0,0,0,0,0,0,229
,,"North Mianus School","=""0570711""",0,89,76,79,89,87,72,0,0,0,0,0,0,0,492
,,"Riverside School","=""0571011""",0,92,63,94,72,75,88,0,0,0,0,0,0,0,484
,,"Central Middle School","=""0575111""",0,0,0,0,0,0,0,184,197,202,0,0,0,0,583
,,"Eastern Middle School","=""0575211""",0,0,0,0,0,0,0,294,270,281,0,0,0,0,845
,,"Western Middle School","=""0575311""",0,0,0,0,0,0,0,218,204,216,0,0,0,0,638
,,"Greenwich High School","=""0576111""",0,0,0,0,0,0,0,0,0,0,691,684,695,676,2746
,,"Windrose","=""0571511""",0,0,0,0,0,0,0,0,0,0,0,"*","*",14,20
,,"Community Connections","=""0571211""",0,0,0,0,0,0,0,0,0,0,0,0,0,19,19
"Griswold School District","=""0580011""","Griswold Elementary School","=""0580311""",87,136,116,109,118,129,0,0,0,0,0,0,0,0,695
,,"Griswold Middle School","=""0585111""",0,0,0,0,0,0,152,127,140,117,0,0,0,0,536
,,"Griswold Alternative School","=""0580111""",0,0,0,0,0,0,0,0,0,0,"*","*","*","*",14
,,"Griswold High School","=""0586211""",0,0,0,0,0,0,0,0,0,0,144,125,126,125,520
"Groton School District","=""0590011""","Catherine Kolnaski Magnet School","=""0592011""",30,71,67,67,65,67,63,0,0,0,0,0,0,0,430
,,"Claude Chester School","=""0590311""",37,53,52,65,39,39,49,0,0,0,0,0,0,0,334
,,"Mary Morrisson School","=""0591711""",63,68,72,52,44,53,33,0,0,0,0,0,0,0,385
,,"S. B. Butler School","=""0590111""",60,45,38,35,42,47,51,0,0,0,0,0,0,0,318
,,"Charles Barnum School","=""0591811""",0,62,57,63,55,69,62,0,0,0,0,0,0,0,368
,,"Northeast Academy Elementary School","=""0591911""",0,72,66,70,67,68,68,0,0,0,0,0,0,0,411
,,"Carl C. Cutler Middle School","=""0595311""",0,0,0,0,0,0,0,187,161,146,0,0,0,0,494
,,"West Side Middle School","=""0595211""",0,0,0,0,0,0,0,162,175,139,0,0,0,0,476
,,"Virtual Learning Academy","=""0590611""",0,0,0,0,0,0,0,0,"*","*","*","*",8,"*",17
,,"New Beginnings Alternative Program","=""0590211""",0,0,0,0,0,0,0,0,0,0,"*","*","*","*",15
,,"Robert E. Fitch High School","=""0596111""",0,0,0,0,0,0,0,0,0,0,276,261,242,257,1036
,,"Transition Academy","=""0591011""",0,0,0,0,0,0,0,0,0,0,0,0,0,15,15
"Guilford School District","=""0600011""","Guilford Lakes School","=""0600211""",29,62,49,60,50,60,0,0,0,0,0,0,0,0,310
,,"A. W. Cox School","=""0600611""",0,52,40,58,47,69,0,0,0,0,0,0,0,0,266
,,"Calvin Leete School","=""0600411""",0,37,57,51,56,47,0,0,0,0,0,0,0,0,248
,,"Melissa Jones School","=""0600311""",0,44,53,53,76,65,0,0,0,0,0,0,0,0,291
,,"A. Baldwin Middle School","=""0600711""",0,0,0,0,0,0,223,279,0,0,0,0,0,0,502
,,"E. C. Adams Middle School","=""0605111""",0,0,0,0,0,0,0,0,"*",308,"*",0,0,0,579
,,"Guilford High School","=""0606111""",0,0,0,0,0,0,0,0,0,0,279,265,287,264,1095
"Hamden School District","=""0620011""","Alice Peck Learning Center","=""0628011""",114,0,0,0,0,0,0,0,0,0,0,0,0,0,114
,,"Church Street School","=""0620211""",33,37,31,22,28,48,49,35,0,0,0,0,0,0,283
,,"Dunbar Hill School","=""0620311""",15,21,28,36,35,41,50,45,0,0,0,0,0,0,271
,,"Helen Street School","=""0620411""",23,43,44,41,41,35,42,45,0,0,0,0,0,0,314
,,"Alice Peck IIC","=""0620711""",0,9,"*",7,"*","*","*","*",0,0,0,0,0,0,32
,,"Bear Path School","=""0621211""",0,54,57,60,70,59,74,47,0,0,0,0,0,0,421
,,"Dunbar Hill IIC","=""0621511""",0,"*",8,"*",0,0,"*","*",0,0,0,0,0,0,19
,,"Helen Street IIC","=""0621611""",0,"*","*",0,0,0,0,0,0,0,0,0,0,0,12
,,"Ridge Hill School","=""0621111""",0,48,30,38,47,42,43,57,0,0,0,0,0,0,305
,,"Shepherd Glen School","=""0620111""",0,54,44,43,27,53,32,44,0,0,0,0,0,0,297
,,"Spring Glen School","=""0621011""",0,55,60,70,69,60,57,70,0,0,0,0,0,0,441
,,"West Woods School","=""0621411""",0,39,49,36,42,60,56,59,0,0,0,0,0,0,341
,,"Church Street IIC","=""0621311""",0,0,7,"*","*","*","*",0,0,0,0,0,0,0,20
,,"Bear Path IIC","=""0620911""",0,0,0,"*","*","*","*",12,0,0,0,0,0,0,24
,,"Ridge Hill IIC","=""0621711""",0,0,0,11,0,"*","*",0,0,0,0,0,0,0,22
,,"West Woods IIC","=""0621811""",0,0,0,0,8,0,0,0,0,0,0,0,0,0,8
,,"Hamden Middle School","=""0625211""",0,0,0,0,0,0,0,0,428,472,0,0,0,0,900
,,"Hamden Collaborative Learning Center","=""0620511""",0,0,0,0,0,0,0,0,0,0,7,8,19,12,46
,,"Hamden High School","=""0626111""",0,0,0,0,0,0,0,0,0,0,374,358,368,354,1454
,,"Hamden Transition Academy @ SCSU (AACPB)","=""0620611""",0,0,0,0,0,0,0,0,0,0,0,0,0,12,12
"Hampton School District","=""0630011""","Hampton Elementary School","=""0630111""",17,11,8,9,11,10,12,15,0,0,0,0,0,0,93
"Hartford School District","=""0640011""","Asian Studies Academy at Bellizzi School","=""0640711""",35,67,58,73,72,68,78,41,61,43,0,0,0,0,596
,,"Betances Early Reading Lab Magnet School","=""0642811""",80,61,62,63,61,64,0,0,0,0,0,0,0,0,391
,,"Breakthrough Magnet School, North","=""0643511""",84,42,44,33,30,30,33,0,0,0,0,0,0,0,296
,,"Breakthrough Magnet School, South","=""0643311""",44,36,38,30,35,34,34,35,34,30,0,0,0,0,350
,,"Burns Latino Studies Academy","=""0640611""",33,40,47,48,50,49,51,46,51,52,0,0,0,0,467
,,"Capital Preparatory Magnet School","=""0646911""",35,36,33,19,18,37,36,51,44,40,46,45,38,45,523
,,"Early Childhood Development Center (ECDC)","=""0644111""",44,0,0,0,0,0,0,0,0,0,0,0,0,0,44
,,"Environmental Sciences Magnet at Hooker School","=""0640911""",60,58,64,62,66,62,63,62,57,53,0,0,0,0,607
,,"Expeditionary Learning Academy at Moylan School","=""0643211""",35,77,74,88,93,96,88,0,0,0,0,0,0,0,551
,,"Hartford PreKindergarten Magnet School","=""0641311""",151,0,0,0,0,0,0,0,0,0,0,0,0,0,151
,,"Kennelly School","=""0641011""",36,64,55,57,75,73,74,65,79,48,0,0,0,0,626
,,"Kinsella Magnet School of Performing Arts","=""0641111""",55,61,47,63,65,72,69,70,75,71,57,50,46,32,833
,,"M. D. Fox School","=""0640811""",35,69,82,75,70,69,64,39,45,44,0,0,0,0,592
,,"Milner School","=""0641911""",18,40,35,31,39,33,24,35,29,45,0,0,0,0,329
,,"Montessori Magnet at Fisher School","=""0643711""",105,44,34,40,28,29,31,13,16,12,0,0,0,0,352
,,"Montessori Magnet at Moylan School","=""0640511""",97,53,36,52,30,35,31,11,0,0,0,0,0,0,345
,,"Naylor/CCSU Leadership Academy","=""0641411""",18,45,53,59,73,68,62,42,46,55,0,0,0,0,521
,,"Parkville Community School","=""0641511""",18,91,78,72,67,66,59,0,0,0,0,0,0,0,451
,,"Pre-K Integrated - Burr School","=""0640310""",29,0,0,0,0,0,0,0,0,0,0,0,0,0,29
,,"Pre-K Integrated - Naylor School","=""0640510""",15,0,0,0,0,0,0,0,0,0,0,0,0,0,15
,,"Pre-K Integrated - Parkville School","=""0640410""",19,0,0,0,0,0,0,0,0,0,0,0,0,0,19
,,"Pre-K Integrated - West Middle School","=""0640610""",15,0,0,0,0,0,0,0,0,0,0,0,0,0,15
,,"Rawson School","=""0641711""",16,55,63,46,54,67,61,0,0,0,0,0,0,0,362
,,"Sanchez School","=""0643011""",33,72,72,67,66,67,47,0,0,0,0,0,0,0,424
,,"Webster Micro Society Magnet School","=""0642011""",100,76,77,53,71,56,56,52,50,31,0,0,0,0,622
,,"West Middle School","=""0642111""",18,44,48,39,50,48,67,62,50,54,0,0,0,0,480
,,"Wish Museum School","=""0642211""",16,46,37,51,67,63,60,56,61,45,0,0,0,0,502
,,"iGOAL 2 - Moylan School","=""0648511""","*","*",0,0,"*","*","*",0,0,0,0,0,0,0,13
,,"iGOAL Pre-K - Naylor School","=""0640710""",10,0,0,0,0,0,0,0,0,0,0,0,0,0,10
,,"iGOAL Pre-K - Rawson School","=""0640810""","*",0,0,0,0,0,0,0,0,0,0,0,0,0,"*"
,,"Burr School","=""0642311""",0,54,56,59,60,70,58,64,68,57,0,0,0,0,546
,,"Global Communications Academy","=""0643611""",0,58,64,59,51,62,53,42,35,42,39,37,35,22,599
,,"SAND School","=""0640111""",0,49,58,38,41,51,42,49,44,23,0,0,0,0,395
,,"STEM Magnet at Fisher School","=""0642511""",0,38,39,39,44,40,41,39,42,44,0,0,0,0,366
,,"iGOAL 1 - Breakthrough Magnet School, North","=""0649511""",0,"*","*","*","*",0,"*",0,0,0,0,0,0,0,10
,,"iGOAL 1 - Burns School","=""0644711""",0,"*",6,"*",7,"*",6,0,0,0,0,0,0,0,28
,,"iGOAL 1 - Naylor School","=""0645711""",0,"*",8,"*",0,0,0,0,0,0,0,0,0,0,20
,,"iGOAL 1 - Parkville School","=""0648711""",0,"*","*","*","*",0,"*",0,0,0,0,0,0,0,9
,,"iGOAL 1 - Rawson School","=""0644411""",0,"*","*","*","*","*","*",0,0,0,0,0,0,0,18
,,"iGOAL 1 - Moylan School","=""0649811""",0,0,"*",0,"*",0,"*",0,0,0,0,0,0,0,"*"
,,"RISE - West Middle School","=""0644611""",0,0,0,"*","*",0,0,0,0,0,0,0,0,0,"*"
,,"RISE - M.D. Fox School","=""0645911""",0,0,0,0,0,"*",0,"*",7,"*",0,0,0,0,18
,,"Renzulli Gifted and Talented Academy","=""0644011""",0,0,0,0,0,10,19,26,38,30,0,0,0,0,123
,,"Betances STEM Magnet School","=""0643811""",0,0,0,0,0,0,67,84,86,71,0,0,0,0,308
,,"Classical Magnet School","=""0646411""",0,0,0,0,0,0,0,75,82,76,92,65,70,73,533
,,"Hartford Magnet Trinity College Academy","=""0645411""",0,0,0,0,0,0,0,172,205,190,158,111,120,101,1057
,,"M. L. King, Jr. Middle School","=""0641611""",0,0,0,0,0,0,0,56,70,56,0,0,0,0,182
,,"McDonough Middle School","=""0641211""",0,0,0,0,0,0,0,98,100,96,0,0,0,0,294
,,"Sport and Medical Sciences Academy","=""0646511""",0,0,0,0,0,0,0,91,93,89,107,97,106,96,679
,,"iGOAL 1 - McDonough Middle School","=""0648911""",0,0,0,0,0,0,0,"*",7,"*",0,0,0,0,17
,,"iGOAL 1 - Milner School","=""0640110""",0,0,0,0,0,0,0,"*",7,"*",0,0,0,0,15
,,"iGOAL 2 - Kennelly School","=""0640210""",0,0,0,0,0,0,0,"*",0,"*",0,0,0,0,"*"
