"Student Counts by School and Grade"
"All Districts, All Schools"
"2018-19"

"",,,,"Grade",,,,,,,,,,,,,,
"District","District Code","School","School Code","Pre-Kindergarten","Kindergarten","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","Total"
,,"Carmen Arace Intermediate School","=""0110711""",0,0,0,0,0,0,112,134,0,0,0,0,0,0,246
,,"Global Experience Magnet School","=""0116311""",0,0,0,0,0,0,0,25,33,39,26,28,29,24,204
,,"Carmen Arace Middle School","=""0115211""",0,0,0,0,0,0,0,0,111,112,0,0,0,0,223
,,"Bloomfield High School","=""0116111""",0,0,0,0,0,0,0,0,0,0,141,134,138,134,547
,,"Learning Academy at Bloomfield","=""0116411""",0,0,0,0,0,0,0,0,0,0,"*","*","*","*",8
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",10,46,54,55,48,59,60,59,61,68,0,0,0,0,520
,,"Bolton High School","=""0126111""",0,0,0,0,0,0,0,0,0,0,71,63,62,65,261
,,"Bolton Transition Program","=""0120211""",0,0,0,0,0,0,0,0,0,0,0,0,0,"*","*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",24,17,16,19,12,20,16,26,22,29,0,0,0,0,201
"Branford School District","=""0140011""","Indian Neck School","=""0148011""",45,0,0,0,0,0,0,0,0,0,0,0,0,0,45
,,"John B. Sliney School","=""0141611""",26,59,51,51,57,59,0,0,0,0,0,0,0,0,303
,,"Mary R. Tisko School","=""0141511""",29,70,60,71,70,65,0,0,0,0,0,0,0,0,365
,,"Mary T. Murphy School","=""0141411""",35,78,72,73,70,70,0,0,0,0,0,0,0,0,398
,,"Francis Walsh Intermediate School","=""0145111""",0,0,0,0,0,0,201,235,222,213,0,0,0,0,871
,,"Branford High School","=""0146111""",0,0,0,0,0,0,0,0,0,0,181,195,233,219,828
,,"Branford High School Horizons Program","=""0140211""",0,0,0,0,0,0,0,0,0,0,"*","*",10,16,40
"Brass City Charter School District","=""2900013""","Brass City Charter School","=""2900113""",36,36,36,36,36,37,35,35,0,0,0,0,0,0,287
"Bridgeport School District","=""0150011""","A.B. Skane Center","=""0154411""",226,0,0,0,0,0,0,0,0,0,0,0,0,0,226
